Region;N;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20
Белгородская область;1;61.0;66.7;71.5;37.9;31.6;0.9;63.4;31.8;15.5;58.8;29.0;26.4;67.0;39.5;10.8;96.0;64.3;63.2;32;89.5
Брянская область ;2;51.1;67.2;69.4;40.0;30.0;1.9;60.0;20.0;10.6;42.7;18.6;19.1;57.3;56.4;7.7;92.7;57.3;6.6;20;87.2
Владимирская область;3;66.0;66.8;72.1;41.8;30.0;2.0;69.0;26.5;14.2;58.1;27.2;23.8;72.7;36.5;10.4;92.4;50.5;23;25;81.1
Воронежская область;4;42.9;76.6;79;43.7;34.9;1.9;62.2;25.6;15.4;54.8;25.8;23.1;60.4;59.6;5.3;84.1;40.4;14.6;18;88.5
Ивановская область;5;70.0;63.6;70.3;44.2;33.4;1.4;60.8;22.4;10.3;53.9;25.3;21.5;67.8;49.1;4.5;95.6;44.5;10.6;14;83.1
Калужская область;6;48.2;73.9;73.3;44.4;35.0;2.9;59.8;28.4;16.9;54.8;27.3;26.9;60.8;43.9;8.5;92.8;52.3;18;33;84.7
Костромская область;7;54.1;64.4;68.3;45.0;32.8;1.4;55.1;22.6;9.8;43.3;21.4;17.3;58.8;39.4;7.6;82.1;31.6;10.8;16;71.4
Курская область;8;72.5;66.7;77;41.9;30.9;0.7;52.6;21.2;12.1;44.3;21.0;18.6;53.6;52.6;7.7;59.0;23.5;8.2;14;80.6
Липецкая область;9;56.0;70.7;73.2;40.0;32.9;1.2;67.1;26.1;12.5;51.1;22.8;20.0;72.7;65.1;9.5;88.8;25.7;7.2;26;74.7
Московская область;10;53.6;81.7;82.3;36.8;29.1;2.0;68.1;40.7;24.6;63;38.4;34.3;80.1;80.1;8.8;92.5;63.3;17.2;24;76.4
Орловская область;11;67.9;68.7;71.4;42.0;33.9;2.5;58.4;21.7;9.3;46.8;19.5;19.9;58.5;22.3;5.8;77.1;26.6;13.4;17;80.3
Рязанская область;12;78.9;68.9;72.5;45.3;34.4;2.1;61.8;23.8;13.9;49.5;24.9;21.0;60.5;64.6;8.3;85.0;49.7;15.9;16;85.7
Смоленская область;13;60.9;71.1;73.6;43.1;31.9;1.5;62.3;24.1;10.2;49.7;20.0;20.2;63.7;63;6.7;92.5;54.4;15.3;14;93.3
Тамбовская область ;14;63.2;71.9;74.5;43.0;31.4;2.6;70.3;23.9;11.2;66;25.0;20.9;75.6;43.5;9.8;96.1;86.0;3;18;87.2
Тверская область;15;65.0;68.9;69.9;40.9;31.3;1.6;57.1;22.1;9.5;50.4;21.9;19.4;57.9;16.3;1.9;75.1;41.2;15.7;15;81.1
Тульская область;16;65.6;84.6;83.8;41.9;27.5;1.4;66.9;27.3;13.7;50.8;25.6;25.8;77.5;62.8;7;89.0;51.7;38;15;72.6
Ярославская область;17;58.2;64.3;65.9;46.3;33.5;2.5;68.6;28.7;15.1;57.7;30.0;25.8;72.9;46.1;14.4;94.4;57.5;38.1;27;83.0
г. Москва;18;2.9;85.5;84.8;61.7;52.8;3.0;82.6;31.5;21.3;66;35.0;31.4;90.7;73.5;12.1;98.1;72.1;25.2;35;85.2
Республика Карелия;19;73.2;71.6;76.4;49.4;37.3;1.2;65.3;24.2;11.6;51;21.9;22.2;72.1;37.1;9.7;89.6;50.5;25.3;27;96.6
