Data;Dollar;Oil Brent
01.01.2020;61,9057;66,39
09.01.2020;61,9057;65,34
10.01.2020;61,234;65,02
11.01.2020;61,2632;64,84
14.01.2020;60,9474;64,42
15.01.2020;61,414;64,00
16.01.2020;61,4328;64,62
17.01.2020;61,5694;64,85
18.01.2020;61,5333;65,20
21.01.2020;61,4654;64,58
22.01.2020;61,8552;63,21
23.01.2020;61,8343;62,04
24.01.2020;61,9515;60,69
25.01.2020;61,8031;59,32
28.01.2020;62,338;59,51
29.01.2020;62,8299;59,81
30.01.2020;62,3934;58,29
31.01.2020;63,0359;56,62
01.02.2020;63,1385;54,45
04.02.2020;63,9091;53,96
05.02.2020;63,4342;55,28
06.02.2020;63,1742;54,93
07.02.2020;62,7977;54,50
08.02.2020;63,472;53,27
11.02.2020;63,7708;54,01
12.02.2020;63,949;55,79
13.02.2020;63,047;56,34
14.02.2020;63,6016;57,32
15.02.2020;63,4536;57,75
18.02.2020;63,3085;59,12
19.02.2020;63,7698;59,31
20.02.2020;63,6873;58,24
21.02.2020;63,7413;56,30
22.02.2020;64,3008;54,95
25.02.2020;64,3008;53,43
26.02.2020;64,9213;52,18
27.02.2020;65,5177;50,52
28.02.2020;65,6097;52,05
29.02.2020;66,9909;51,90
03.03.2020;66,3274;51,40
04.03.2020;66,4437;49,93
05.03.2020;66,0784;45,50
06.03.2020;66,1854;33,44
07.03.2020;67,5175;37,81
10.03.2020;67,5175;35,79
11.03.2020;72,0208;32,66
12.03.2020;71,472;34,67
13.03.2020;74,0274;29,51
14.03.2020;73,1882;28,62
17.03.2020;74,1262;24,88
18.03.2020;73,8896;28,47
19.03.2020;77,2131;26,98
20.03.2020;80,157;27,46
21.03.2020;78,0443;27,47
24.03.2020;80,8815;27,45
25.03.2020;78,8493;26,34
26.03.2020;77,7928;24,93
27.03.2020;78,7223;22,76
28.03.2020;77,7325;22,74
01.04.2020;77,7325;24,74
02.04.2020;77,7325;29,94
03.04.2020;77,7325;34,11
04.04.2020;77,7325;33,05
07.04.2020;76,4074;31,87
08.04.2020;75,455;32,84
09.04.2020;75,7499;31,48
10.04.2020;74,605;31,74
11.04.2020;73,7515;29,60
14.04.2020;73,5245;27,69
15.04.2020;73,315;27,82
16.04.2020;73,7145;28,08
17.04.2020;74,7119;25,57
18.04.2020;73,9441;19,33
21.04.2020;74,6657;20,37
22.04.2020;76,2562;21,33
23.04.2020;77,0416;21,44
24.04.2020;75,129;19,99
25.04.2020;74,7163;20,46
28.04.2020;74,496;22,54
29.04.2020;74,5706;25,27
30.04.2020;73,6894;26,44
01.05.2020;72,7263;27,20
07.05.2020;73,9719;30,97
08.05.2020;74,1169;29,72
09.05.2020;73,8725;29,46
13.05.2020;73,4326;30,97
14.05.2020;73,5819;29,63
15.05.2020;73,9298;29,98
16.05.2020;73,2056;29,19
19.05.2020;72,9798;31,13
20.05.2020;72,3918;32,50
21.05.2020;72,3381;34,81
22.05.2020;70,924;34,65
23.05.2020;71,8804;35,75
26.05.2020;71,5962;36,06
27.05.2020;71,1408;35,13
28.05.2020;71,0635;35,53
29.05.2020;71,1012;36,17
30.05.2020;70,752;34,74
02.06.2020;69,7114;35,29
03.06.2020;68,9831;37,84
04.06.2020;68,3413;38,32
05.06.2020;69,0151;39,60
06.06.2020;68,6319;39,79
09.06.2020;68,3123;39,94
10.06.2020;68,6745;42,30
11.06.2020;68,6183;40,76
12.06.2020;69,1219;40,64
16.06.2020;70,395;41,22
17.06.2020;69,7524;38,33
18.06.2020;69,4822;38,90
19.06.2020;69,618;39,79
20.06.2020;69,5725;40,67
23.06.2020;69,4835;40,53
24.06.2020;68,8376;41,46
25.06.2020;68,8376;42,19
26.06.2020;69,466;43,03
27.06.2020;69,1284;42,63
30.06.2020;69,9513;40,26
01.07.2020;70,4413;41,05
02.07.2020;70,4413;40,71
03.07.2020;70,5198;41,46
04.07.2020;70,4999;41,14
07.07.2020;71,3409;41,91
08.07.2020;72,1719;43,14
09.07.2020;71,2379;42,80
10.07.2020;70,88;43,10
11.07.2020;71,2298;43,08
14.07.2020;70,7479;43,29
15.07.2020;71,1275;42,35
16.07.2020;70,7998;43,24
17.07.2020;71,231;42,72
18.07.2020;71,7139;42,90
21.07.2020;71,9628;43,79
22.07.2020;70,9668;43,37
23.07.2020;70,7881;43,14
24.07.2020;70,963;43,28
25.07.2020;71,5974;44,32
28.07.2020;71,585;44,29
29.07.2020;71,9196;43,31
30.07.2020;72,2348;43,34
